importer name,importer country (2 letter code),total # of shipments,total Kg,Total amount,# shipments from South Africa,Total tons from South Africa,Description
HIGH HOPE GROUP JIANGSU TONGTAI CO,CN,172,4588330.0,0,0.0,0.0,"KINAY TAS VE LOJ AS (TR), Shipments: 130, Tonnage: 3616.77 tons
ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 42, Tonnage: 971.56 tons"
HIGH HOPE INTERNATIONAL TRADING CO,CN,231,6418685.0,0,0.0,0.0,"ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 231, Tonnage: 6418.69 tons"
HIGH HOPE INTL GROUP JIANGSU,CN,110,3055600.0,0,0.0,0.0,"ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 110, Tonnage: 3055.60 tons"
HIGH HOPE SUPPLY CHAIN (LIANYUNGANG,CN,1,3002150.0,0,0.0,0.0,"HAYRI OGELMAN MADENCILIK ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 3002.15 tons"
HIGH HOPE SUPPLY CHAIN (LIANYUNGANG) CO LTD,CN,49,3950140.0,0,0.0,0.0,"HAYRI OGELMAN MADENCILIK ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 2500.31 tons
MINTECH RESOURCES (PK), Shipments: 48, Tonnage: 1449.83 tons"
HIGH HOPE ZHONGDING CORP,CN,512,14380523.0,0,0.0,0.0,"KINAY TAS VE LOJ AS (TR), Shipments: 350, Tonnage: 9708.45 tons
EKIN MADEN TIC. VE SAN. A.S (TR), Shipments: 80, Tonnage: 2401.99 tons
KLC GEMI A LOJ HIZ SAN TIC LTD STI (TR), Shipments: 47, Tonnage: 1298.43 tons
ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 35, Tonnage: 971.64 tons"
HINSUNG ELECTRONIC INTERNATIONAL CO LTD,CN,30,890880.0,0,30.0,890.88,"ZOPCO SA (ZA), Shipments: 30, Tonnage: 890.88 tons"
HONG KONG INTERNATIONAL MINERAL,CN,63,1715490.0,0,0.0,0.0,"HONG KONG INTERNATIONAL MINERAL (AL), Shipments: 63, Tonnage: 1715.49 tons"
HONG KONG RUILEHE TRADING LTD,CN,1,255920.0,0,0.0,0.0,"SODA TRADING PLC (ET), Shipments: 1, Tonnage: 255.92 tons"
HONGKONG RUNRI TRADING COMPANY,CN,2,46400.0,0,0.0,0.0,"JLM MINING COMPANY LTD (NG), Shipments: 2, Tonnage: 46.40 tons"
HUAXIN (TIANJIN) MINERAL RESOURCES,CN,37,1100010.0,0,37.0,1100.01,"SAFELINK INTERNATIONAL TRADING (ZA), Shipments: 37, Tonnage: 1100.01 tons"
HUBEI ITG SUPPLY CHAIN GROUP CO LTD,CN,1,5438090.0,0,0.0,0.0,"HAYRI OGELMAN MADENCILIK ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 5438.09 tons"
HUBEI ZHENHUA CHEMICAL CO LTD,CN,502,14927475.0,0,500.0,14860.145,"RAND YORK MINERALS (PTY) LTD (ZA), Shipments: 500, Tonnage: 14860.15 tons
RAND YORK MINERALS (PTY) LTD (AE), Shipments: 2, Tonnage: 67.33 tons"
HUNAN CONSTRUCTION INVESTMENT INTERNATIONAL TRADE CO LTD,CN,301,8769306.0,0,222.0,6627.42,"ONELINK INVESTMENT (PTY) LTD (ZA), Shipments: 222, Tonnage: 6627.42 tons
MINTECH RESOURCES (PK), Shipments: 40, Tonnage: 1208.22 tons
RIVER RAIN MINING LTD (MZ), Shipments: 19, Tonnage: 539.43 tons
VULCAN INTERNATIONAL CO LTD (MZ), Shipments: 7, Tonnage: 201.48 tons
XIN HANG CHEMICAL CO LTD (MZ), Shipments: 6, Tonnage: 184.02 tons"
HUNAN HUAZHUANG SCIENCE,CN,228,6664440.0,0,0.0,0.0,"GRAND MINERALS&RESOURCES (MZ), Shipments: 168, Tonnage: 4910.64 tons
GRAND MINERALS AND RESOURCES (MZ), Shipments: 60, Tonnage: 1753.80 tons"
HUNAN HUAZHUANG SCIENCE AND,CN,15,408450.0,0,0.0,0.0,"ALECAIA (AL), Shipments: 15, Tonnage: 408.45 tons"
HUNAN YUFEI INDUSTRY INVESTMENT,CN,2,56460.0,0,0.0,0.0,"TAKELA GROUP (PTY) LTD (MZ), Shipments: 2, Tonnage: 56.46 tons"
INDONESIA RUIPU NICKEL&CHROME ALLOY,ID,54,0.0,0,0.0,0.0,"CANDAX PTE LTD (SG), Shipments: 1, Tonnage: 0.00 tons
ETERNAL TSINGSHAN GROUP LTD (HK), Shipments: 4, Tonnage: 0.00 tons
GOLDEN HARBOUR INTERNATIONAL PTE LTD (SG), Shipments: 10, Tonnage: 0.00 tons
HANWA CO LTD (JP), Shipments: 3, Tonnage: 0.00 tons
HONG KONG RUI PU CO LTD (HK), Shipments: 2, Tonnage: 0.00 tons"
INDONESIA TSINGSHAN STAINLESS STEEL,ID,4,0.0,0,0.0,0.0,"HANWA CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons
HANWA CO LTD (JP), Shipments: 3, Tonnage: 0.00 tons"
INDOPRIMA GEMILANG,ID,1,0.0,0,0.0,0.0,"CBK PRIMA TRADING CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
INNER MONGOLIA NASHUN EQUIPMENT&ENGINEERING CORP LTD,CN,1,157.0,0,0.0,0.0,"ТОО ""НАУЧНО ИССЛЕДОВАТЕЛЬСКИЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ERG"" (KZ), Shipments: 1, Tonnage: 0.16 tons"
INTEC CO LTD,KR,114,2650330.0,0,114.0,2650.33,"SAMCHROME FZE (ZA), Shipments: 114, Tonnage: 2650.33 tons"
INTEC CO. LTD.,KR,5,116242.5,0,5.0,116.2425,"SAMCHROME FZE (ZA), Shipments: 5, Tonnage: 116.24 tons"
JAINGSU SOHO METALS&MINERALS CO LTD,CN,2,3621.7,0,0.0,0.0,"UNITED ENTERPRISES (PK), Shipments: 2, Tonnage: 3.62 tons"
JCC GUOXING (YANTAI) COPPER CO LTD,CN,124,3624183.0,0,124.0,3624.183,"TRAXYS EUROPE S A (ZA), Shipments: 124, Tonnage: 3624.18 tons"
JIANDE HUAWEN TRADING CO LTD,CN,10,282300.0,0,0.0,0.0,"BRIGHT LINK RESOURCES (H K) LTD (MZ), Shipments: 10, Tonnage: 282.30 tons"
JIANGSU FOREIGH TRADE,CN,5,0.0,0,0.0,0.0,"KITMIN HOLDINGS LTD (KE), Shipments: 5, Tonnage: 0.00 tons"
JIANGSU HIGH HOPE ARSER CO LTD,CN,71,1956805.0,0,0.0,0.0,"ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 71, Tonnage: 1956.81 tons"
JIANGSU HIGH HOPE COLD CHAIN LOGISTI,CN,311,8657970.0,0,0.0,0.0,"ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 311, Tonnage: 8657.97 tons"
JIANGSU HUAJIE SUPPLY CHAIN MANAGEMENT CO LTD,CN,6,504.76,0,0.0,0.0,"S L M ENTERPRISES (PK), Shipments: 6, Tonnage: 0.50 tons"
JIANGSU PROVINCIAL FOREIGN TRADE CORPORATION,CN,1920,57650879.58,0,1414.0,41925.64,"MGABADELI MINERAL RESOURCE PTY LTD (ZA), Shipments: 377, Tonnage: 11141.60 tons
GRAND MINERALS&RESOURCES (MZ), Shipments: 196, Tonnage: 5827.08 tons
KENUO TRADING (PTY) LTD (ZA), Shipments: 191, Tonnage: 5710.90 tons
GLOBAL METAL SERVICE LTD (MZ), Shipments: 121, Tonnage: 3534.70 tons
KMG MINERAL TRADING (PTY) LTD (ZA), Shipments: 110, Tonnage: 3232.30 tons"
JIANGSU SENKAI MINING CO LTD,CN,356,10602090.0,0,355.0,10602.09,"GRANDSTONE GLOBAL SUPPLIER PTY LTD (ZA), Shipments: 277, Tonnage: 8269.89 tons
MGABADELI MINERAL RESOURCE PTY LTD (ZA), Shipments: 78, Tonnage: 2332.20 tons
MGABADELI MINERAL RESOURCE PTY LTD (MY), Shipments: 1, Tonnage: 0.00 tons"
JIANGSU SMART HIGH SUPPLY CHAIN,CN,89,2423470.0,0,0.0,0.0,"TRIGGER SCIEN TECH CO LTD (MZ), Shipments: 59, Tonnage: 1606.57 tons
TRIGGER SCIEN-TECH CO. LIMITED (MZ), Shipments: 30, Tonnage: 816.90 tons"
