importer name,importer country (2 letter code),total # of shipments,total Kg,Total amount,# shipments from South Africa,Total tons from South Africa,Description
XIAMEN ITG GROUP CORP; LTD,CN,1,3513550.0,0,0.0,0.0,"ZAIMOGLU PETROL VE INSAAT URETIM PAZARLAMA SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 3513.55 tons"
XIAMEN ITG NONFERROUS METAL&MINERALS CO,CN,106,2937127.0,0,99.0,2932.395,"BAOSTEEL RESOURCES SOUTH AFRICA (PTY) LTD (ZA), Shipments: 63, Tonnage: 1862.12 tons
LANKERS INTERNATIONAL PTE LTD (ZA), Shipments: 36, Tonnage: 1070.28 tons
M/S ASIAN MINES&MINERALS (PK), Shipments: 7, Tonnage: 4.73 tons"
XIAMEN SHIHUA SLABSTONE CO LTD,CN,10,292300.0,0,0.0,0.0,"YAZAN INDUSTRIAL LTD (MZ), Shipments: 10, Tonnage: 292.30 tons"
XIAMEN XIANGYU COMMODITIES CO LTD,CN,471,12836611.0,0,111.0,3297.65,"HONGKONG TOPWAY TRADING CO LTD (ZA), Shipments: 111, Tonnage: 3297.65 tons
YEEYANG INTERNATIONAL LTD (MZ), Shipments: 101, Tonnage: 3011.23 tons
HONGKONG TOPWAY TRADING CO LTD (MZ), Shipments: 57, Tonnage: 1693.61 tons
IMPERIAL LOGISTICS (MZ), Shipments: 59, Tonnage: 1657.63 tons
ZONGFAN INTERNATIONAL TRADING (MZ), Shipments: 36, Tonnage: 1059.88 tons"
XIAMEN XIANGYU SUPERCHAIN SUPPLY CHAIN DEVELOPMENT CO LTD,CN,16,475380.0,0,16.0,475.38,"HONGKONG TOPWAY TRADING CO LTD (ZA), Shipments: 16, Tonnage: 475.38 tons"
XIAMEN XINDCO LTD,CN,36,1068205.0,0,36.0,1068.205,"ZOPCO SA (ZA), Shipments: 36, Tonnage: 1068.20 tons"
XIANGYU HONOUR WEALTH SUPPLY CHAIN CO LTD,CN,88,2266130.0,0,20.0,594.6,"BT INTERNATIONAL HK LTD (MZ), Shipments: 37, Tonnage: 1040.81 tons
FIRST CHRONICLES EXPORT&PROJECT (MZ), Shipments: 22, Tonnage: 621.06 tons
AFRICAN CHIEF INTERNATIONAL (ZA), Shipments: 20, Tonnage: 594.60 tons
KPK CHROMITE STONE (PK), Shipments: 8, Tonnage: 8.57 tons
MDM ENTERPRISES (PK), Shipments: 1, Tonnage: 1.09 tons"
XIANGYU HONOUR WEALTHY SUPPLU CHAIN CO LTD,CN,2,2128.0,0,0.0,0.0,"INDUS MINERAL (PK), Shipments: 2, Tonnage: 2.13 tons"
XIANGYU HONOUR WEALTHY SUPPLY CHAIN CO LTD,CN,3,1428.0,0,0.0,0.0,"SUPERIOR MINERALS (PK), Shipments: 3, Tonnage: 1.43 tons"
YINGKOU HIGH TECHNOLOGY SYNTHETIC REFRACTORIES CO LTD,CN,143,1544046.9,0,56.0,1523.38,"SAMCHROME FZE (ZA), Shipments: 56, Tonnage: 1523.38 tons
UNITED ENTERPRISES (PK), Shipments: 21, Tonnage: 5.72 tons
MDM ENTERPRISES (PK), Shipments: 21, Tonnage: 5.63 tons
USSA ENTERPRISES (PK), Shipments: 20, Tonnage: 5.19 tons
PACIFIC MINERALS (PK), Shipments: 25, Tonnage: 4.13 tons"
ZEUMAT IMPEX CO LTD,CN,2,328.5,0,0.0,0.0,"STONEBRIDGE TRADERS (PRIVATE) LTD (PK), Shipments: 2, Tonnage: 0.33 tons"
ZHEJIANG FREE TRADE ZONE XINSHUN,CN,77,2302300.0,0,77.0,2302.3,"WINCO INTERNATIONAL TRADING LTD (ZA), Shipments: 77, Tonnage: 2302.30 tons"
ZHEJIANG HUANLIAN HEDING METAL CO LTD,CN,7,174230.0,0,7.0,174.23,"LS ALLOYS TRADING SARL (ZA), Shipments: 7, Tonnage: 174.23 tons"
ZHEN DA REFRACTORIES CO LTD,CN,2,427.28999999999996,0,0.0,0.0,"USSA ENTERPRISES (PK), Shipments: 1, Tonnage: 0.29 tons
TWO STAR ENTERPRISES (PK), Shipments: 1, Tonnage: 0.13 tons"
ZHENDA REFRACTORIES CO LTD,CN,2,560.0,0,0.0,0.0,"UNIVERSAL MINE&MINERAL GROUPS (PK), Shipments: 2, Tonnage: 0.56 tons"
ZHESHANG DEVELOPMENT GROUP CO LTD,CN,207,5595795.27,0,0.0,0.0,"OAKTRON FZE (AL), Shipments: 199, Tonnage: 5586.27 tons
UNITED ENTERPRISES (PK), Shipments: 7, Tonnage: 8.43 tons
MDM ENTERPRISES (PK), Shipments: 1, Tonnage: 1.09 tons"
ZHESHANG DEVELOPMENT GROUP CO. LTD,CN,42,1143660.0,0,0.0,0.0,"OAKTRON FZE (AL), Shipments: 42, Tonnage: 1143.66 tons"
ZHONGDA BRIGHT FILTER PRESS CO.LTD,CN,6,0.0,0,0.0,0.0,"JINDAL STAINLESS LIMITED (IN), Shipments: 6, Tonnage: 0.00 tons"
ZHONGHANG INTERNATIONAL MINERALS&RESOURCES CO LTD,CN,51,1259588.0,0,42.0,1251.02,"EAST SOUTH TECHNOLOGIES (PTY) LTD (ZA), Shipments: 42, Tonnage: 1251.02 tons
GULF MINERALS FZE (PVT ) LTD (PK), Shipments: 8, Tonnage: 7.64 tons
MAX ORE SERVICES (PK), Shipments: 1, Tonnage: 0.92 tons"
ZHUHAI OLI UNION INTERNATIONAL TRADING CO LTD,CN,115,2844708.7,0,0.0,0.0,"OAKTRON FZE (AL), Shipments: 104, Tonnage: 2831.92 tons
UNITED ENTERPRISES (PK), Shipments: 11, Tonnage: 12.79 tons"
ZY INDUSTRIAL GROUP LTD,CN,1,197.19,0,0.0,0.0,"PAK RICE VILLAGE (PK), Shipments: 1, Tonnage: 0.20 tons"
nan,0,1,0.0,0,0.0,0.0,
